,工事分野,工事の種類,工種,工法・形式名,災害分類,事故分類,天候,事故発生年・月・時間,事故発生場所（都道府県）,事故に至る経緯と事故の状況,事故の要因（背景も含む）,事故発生後の対策
11,道路,土木一式,コンクリート構造物工事,橋梁下部工(橋台､橋脚),労働災害,墜落,曇り,2019年4月7時,徳島県,鋼管矢板中掘圧入を作業中に鋼管矢板内の掘削を終えてｸﾚｰﾝの主巻でｽｸﾘｭｰﾄﾞﾗｲﾊﾞを、補巻で吊りｼｰﾌﾞを同時に巻き上げていたところ、突然滑車が横方向に動いて仮桟橋上から滑り落ち被災者は固定ｼｰﾌﾞとともに仮桟橋から水中に転落し負傷した。,固定ｼｰﾌﾞの滑動に対する抵抗の検討は実施していたが、クレーンのブームが倒れた条件の悪い状態での照査が不十分であり、今回施工していた鋼管井筒矢板がクレーンより最も遠方かつ深度が条件の悪い箇所であったため、抵抗力より大きな横方向力が作用して横滑りした。固定ｼｰﾌﾞの固定が不十分であった。作業手順にない作業をした。,仮桟橋上の固定シーブに対して条件の悪い場合を想定した照査を実施し、仮桟橋上から動かないように、クレーンの捕巻吊り荷重のリミッターが作動する値を十分カバーできるようウエイトを増量し、更に２重の対策として仮桟橋上の固定シーブをレバーブロックで覆工板の吊り穴に固定してスクリュードライバーの巻き上げ作業中は仮桟橋上の固定シーブに近寄ることを禁止し巻き上げ完了後にオペレータからの合図を確認後仮桟橋上の固定シーブの滑車のレバーブロックを解除する。
12,河川,土木一式,樋門・樋管工事,樋門・樋管工,労働災害,墜落,,2019年4月14時,徳島県,,,
13,その他,,,,第三者災害,自動車の転倒、下敷、接触、衝突等,晴,2019年4月14時,埼玉県,駐車場にて待機中、出庫時に出やすいよう空いた駐車スペースに移動させようとしたが、駐車場内は満車状態だったため何度か切り返しをし、バックした際に右隣に停車していた車両に接触させ、当方車両リヤ左側ブレーキランプ及びテールランプカバー、相手車両は左フロントフェンダー及びフロントバンパー左側面を破損した。,駐車場は満車状態で待機していたが、後方の車両が移動しそのスペースが出庫時に出やすい場所であったため、移動することとし、両隣に車両が停まっていて移動しにくい状態であったにも関わらず、何度も車両の切替しを行った。空いているスペースに他車両が停車する前に移動しようとするあまり焦る気持ちから安全確認が疎かになってしまった。,バックするときは、ミラーやバックモニターを活用した目視確認だけでなく、幅員が狭い河川現場や今回のような狭い駐車場に停める場合など、状況に応じて管理員自ら車から降りて後方の安全確認、センサーアラーム発報の距離を習熟し、接近した場合は必ず停止し、それ以上後退しないことを徹底また、バック時の接触事故発生状況などの資料をもとにした事故防止安全教育を月１回行い、「事故発生時の措置」及び「事故発生時の具体的な処置および報告」を、巡回時に責任者・代理及び車両管理員が双方ともに手順を確認することも徹底。事故防止講習を専門とする保険会社の外部機関講師や会社によるヒューマンエラー対策、バック時の事故防止対策に特化した研修を行い、同様の安全教育研修を四半期ごとに行う。
14,道路,土木一式,その他土木一式工事,その他土木一式工,第三者災害,自動車の転倒、下敷、接触、衝突等,,2019年4月15時,新潟県,,,
15,河川,土木一式,その他土木一式工事,その他土木一式工,労働災害,工具等取り扱い,曇り,2019年4月8時,山口県,河川改修工事において竹伐採作業中、草刈機の刃の部分が跳ね負傷した。,草刈り機の稼働中に片手で草刈り機を保持していたことから使用方法が適切でなかった。,事故原因の究明と再発防止策の検討と緊急時の連絡体制の徹底を指示。
16,道路,土木一式,トンネル工事,ＮＡＴＭ、矢板トンネル、ＴＢＭ,労働災害,飛来、落下,雨,2019年5月23時,徳島県,トンネルの非常用施設箱抜工のプレートを鋼製支保工に溶接で取り付けたのち、プレートにロックボルトを打設せず、箱抜き部分の掘削等を行い吹付のために吹付機をセット後、掘削部分の下部残土を足で整地して戻ろうとしていた所に、プレートが落下し、脛の内側にあたりを負傷した。,非常用施設箱抜工掘削時におけるプレート固定の安全度が不足していて、箱抜き掘削に特化した手順書を作成しておらず、安全対策を踏まえた具体的な作業手順書について、下請けに指導が出来ていなかった。,掘削に特化した手順書を作成する。作成した手順書について指導する。作成した手順書に基づき安全度を確保できるよう掘削を行う。
17,建築,建築一式,建築一式工事,建築一式工（１）,労働災害,その他,晴,2019年5月8時,岡山県,朝礼終了後、作業場確認の為移動中にひび割れていた塩ビ枡蓋を踏み、枡蓋が割れて片足が落ち左足を負傷した。,既存塩ビ枡の蓋にひびが入っていたが、直ちに交換せずｶﾗｰｺｰﾝを置いていたが事故当時にはその場になく移動されていた。,施工業者及び関係下請業者で再発防止対策会議を開催し、既設の桝蓋を全数確認、破損個所があれば交換し、桝蓋を含む危険個所、開口部付近をバリケード等で明確に区画分けして立ち入り禁止としたうえで、外部通路にも安全通路を確保。
18,道路,維持修繕,維持修繕工事,維持修繕工,労働災害,墜落,晴,2019年5月10時,北海道,現場事務所内において安全掲示板用の足場を監理技術者と被災者が足場上で組立作業を行っている際、被災者が建枠の妻側から地面に降りようとした際に、アームロックを固定するピンに左手薬指の指輪が引っ掛かり、指の付け根を負傷した。,昇降設備が設置されておらず、危険個所という認識が不足していた。,昇降設備を設置し、作業手順書を作成して作業前に確認する。安全掲示板の組立作業では2名で組立作業を行うほかに補助員1名を配置する。安全掲示板組立作業であっても組立図を作成する。作業指揮者を指名して、その者に直接指揮させ関係労働者以外の区域内への立入を禁止する。
19,その他,土木一式,その他土木一式工事,その他土木一式工,労働災害,飛来、落下,晴,2019年5月15時,静岡県,工事山腹の作業状況を確認するため、林内の作業歩道を中腹に向かって移動中に上部からの転石により負傷した。,落石が当たった場所は、作業歩道であり、被災者がいた場所には問題なく、中腹での作業と被災箇所にズレがあり、作業中により発生した落石とは考えにくい為、雨や小動物により浮石が発生し落石となった可能性がある。,現場の安全確認が取れるまで工事を一時停止するよう指示後、今後の安全対策について受注者と協議し現場の安全対策の実施状況の確認。事務所内の建設工事安全管理推進委員会を開催し事故状況の報告と工事事故の再発防止対策の検討。工事事故発生に関する注意指導案について現場の安全確認と工事再開の指示。各事務所に対して安全管理を徹底するよう通知があり、農林事務所は、現在施工中の農林土木工事関係業者に対し、安全管理の徹底に関する注意喚起の文書を通知した。
20,建築,建築一式,建築一式工事,建築一式工（１）,労働災害,墜落,,2019年5月14時,北海道,被災者が2階上部天井裏においてチャンバー囲い壁の下地取付作業中に、職長から下部への火花飛散防止のための防炎養生シートを下階から運搬するよう指示を受け、それを運搬中、作業場所と隣接する開口部から2階床面まで墜落し負傷した。,元請けは床開口部を鋼製布板で養生をしていたが、職長は墨上げ作業の障害になるため、床開口養生を元請けへ報告せずに撤去し、開口部に薄べニヤを敷き込み火花養生を行った。被災者は、床開口部に近接した鉄骨ブレースの間を前屈みで跨いだ際、床勾配により、開口部側にバランスを崩したと思われる。また、開口部近傍を通行する時に親綱は設置されていたが、安全帯を使用していなかった。,高所作業場の安全巡回・是正・墜落防止対策の強化。空調用壁ダクト床開口部の内部に足場を組立て、落下高さが2m未満となる養生施設を計画・整備。全施設整備を専属対応する作業員を常駐させ既存施設を点検し整備。開口部養生を容易に撤去出来ないよう固定し具体的な注意喚起表示を実施。必ず守ることとして、作業計画は、紙に書いたもので確認し、仮設養生材・足場は一切撤去しない、床開口養生は固定し注意喚起表示を張る、を再徹底。違反時レッドカード制の運用により、当事者と職長は強制退場による再発防止強化。
21,下水道,土木一式,その他土木一式工事,その他土木一式工,労働災害,建設機械等の転倒、下敷、接触、衝突等,晴,2019年5月9時,茨城県,下水道工事の汚水管布設後の埋戻しを施工中、バックホゥの足元の地盤が崩れ、前方に傾き、土留内にいた作業員がバケットと土留切梁との間に挟まれた。,バックホゥによる埋戻し砂投入の際に、足元が不意に崩れ前方に傾いたことによる接触事故であり足元地盤の強度・崩壊の予測がつかなかった事、作業員と重機械との分離処置の徹底ができていなかった事が原因である。,安全管理に関する措置について確認し、安全確保に不明瞭な点があれば指導・助言を行う。ＫＹ活動における危険ポイントや行動目標の確認など、ＫＹ活動の実施を徹底するよう指導する。工事を再開する際は、監督員が初回作業の立会いを行い、適切な人員配置及び誘導方法等、安全に作業を進められることを確認するとともに、工程管理・施工方法の変更等においては監督員と密に協議し、安全・確実な施工方法を講じる。ＫＹ活動記録，手順書等を確認し，再発防止対策が適正に実施されていることをの工程会議で確認し，監督員が現場確認を行う。工事現場安全点検チェックリストを作成する。
22,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,取扱運搬等,晴,2019年5月14時,和歌山県,モルタル吹付けの作業中にベルトコンベアの位置に不具合が生じたのを作業員が見つけ位置を修正しようと動いているベルトコンベアに近づき屈んでフレームに手をかけ位置を修正していたところ体勢を崩し手袋がベルトコンベアに触れ巻き込まれそれに引っ張られてベルトとガイドローラの間に左手示指が挟まれ負傷した。,事故は、ベルトコンベアの周辺の危険区域が立ち入り禁止にされておらず、作業員がコンベアを停止させないで回転部に接近した事が原因である。また元請けは下請けに対して必要な指導をしていなかった。,コンベア周辺に進入できないようロープを張り立入禁止措置を行い、運転中は接近しないよう作業員に周知し、現場全職員に対し、再発防止検討会を行って、自今の原因と再発防止方法を検討し、作業手順書、機械の取扱説明書の再確認を行った。
23,港湾,土木一式,港湾・空港・海洋埋立工事,外郭施設,労働災害,飛来、落下,晴,2019年5月16時,北海道,移動式クレーンの作業終了後、休車姿勢とするため主巻フックを直立状態で地面に置き、地表まで下げたブーム先端が地面に接触しないよう作業員が枕木を配置していたが、重ね置いた枕木がずれたため、フックを置いた側に立ち入ったがフックに背を向け置き直していたところ、フックがゆっくりと倒れ被災者の腹に衝突した。その様子を目撃した合図者や他の作業員がとっさにフックを止め被災者は下敷きを免れた。,クレーンを休車姿勢にさせる「片付け作業」の作業手順の不備、主巻フックを直立状態で地面に置くための地盤状態の確認不足が主な要因である。,作業手順書に、主巻フックを横置きするよう追記した。枕木の位置決めをブーム降下前に行い、移動式クレーン作業計画書に「片付け作業中」の立入禁止範囲を明確化た。
24,その他,,,,第三者災害,その他,曇り,2019年5月15時,栃木県,走行中、左側後部に異変を感じたため車両をバス停に停車し確認したところ、タイヤのホイールナットが外れていた。,車両管理員は今までに同様の不手際がなかったことから、慢心によるものと思われる。事務所を出発して２、３ｋｍでナットが全て外れていることから、本締め増締めを失念した可能性があり、タイヤ交換の手順認識不足であった。,事故発生の報告をし、車両のレッカー移動をした。
25,河川,土木一式,護岸工事,護岸工,労働災害,飛来、落下,晴,2019年5月17時,奈良県,平張ブロック基礎上で足を滑らせ転倒し負傷した。,歩行していたコンクリート面が濡れていたこと、日常の事で慣れが生じ、不注意、足元確認の怠りが事故の要因と考えられる。,法面又は法面に面しているところは極力濡らさないようにし、その他滑る原因となる砂利や砂は必ず清掃し、各人が足下確認の徹底を図るようにする。法面での作業を行う時は作業箇所に親綱を設置し安全帯を装着して転落事故を未然に防ぐ。河川内の計画河床高までの埋戻しを先行して行うようにし、万が一転落事故が発生しても最小限の怪我で済むように高低差を極力小さくする。安全巡視は現場代理人と作業主任者などの２人一組で行う。社内教育を行い、安全作業の周知徹底を行う。
26,道路,土木一式,コンクリート構造物工事,カルバート工(共同溝、導水路・放水路を除く),第三者災害,建設機械等の転倒、下敷、接触、衝突等,晴,2019年5月11時,京都府,,,
27,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,建設機械等の転倒、下敷、接触、衝突等,曇り,2019年5月16時,鹿児島県,片側交互通行の解除前に下層路盤工の道路中央部擦り付け作業時、規制区間内にて停留した一般車両があり、バックホウ前方にいた被災者は、それを見てバックホウの横を通ることをオペレーターに合図を行い、バックホウ後方にて一般車両誘導中に後退してきたバックホウ右側キャタに巻き込まれた。,重機オペに横を通るときに合図を行って通過したが後方に回るための重機停止の伝達不足が生じ、重機の死角に入り一般車両に気を取られ重機の動きに注視をしなかったため。,今後の各現場で励行する対策として、朝礼時「やまびこ運動」を実施し、リーダーを決めて全員で唱和する。重機作業を行う現場では、作動時に必ずクラクションを鳴らす。誘導員からの合図があった時は、動作を止めて確認する。会社としての取組として、現在の安全選任員を1名増員して、各現場の社内パトロールを強化する。毎月行う工程安全会議前に提出する資料に各現場のヒヤリハット事例を列記し、会議前に全員に周知し危険な要素を摘み取ることとする。
28,道路,土木一式,その他土木一式工事,その他土木一式工,第三者災害,その他,晴,2019年5月1時,大阪府,掘削作業中に、バックホウの爪の先が地下埋設配管に損傷を与えた。,作業員が作業手順を守らず、油断、軽視していた。また作業指示の理解度が不十分だった。,KY活動時に作業手順の説明だけでなく、作業員と双方向で話し合い、作業手順の理解度を確認してから始業する。作業開始前に現場代理人が掘削時の要所の作業員の配置を確認し、現場代理人が作業開始の号令を掛けた後にバックホウの掘削を始める。バックホウでの掘削は刃先監視員を設置して、作業員の配置と作業手順を確認してから行う。先行して、埋設物ケーブルが露出するまで人力で試掘し、確実な位置を把握、見える状態にして機械作業を行う。露出した埋設物を養生し接触を防止する。
29,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,墜落,晴,2019年5月9時,福井県,作業台から足を踏み外し転落し負傷した。,被災者は建設工事の経験が浅く、安全に対する認識が低くかった。また、安全訓練の際に理解度の確認を怠っていた。,作業台等を使用する際、設置状況点検を行い、二人以上で作業を行うこととする。経験年数が浅い作業員については、軽作業のみの作業を原則とし、実務経験のある作業員の指導、教育のもと複数人で作業を行う。
30,河川,土木一式,護岸工事,護岸工,第三者災害,建設機械等の転倒、下敷、接触、衝突等,,2019年5月14時,福岡県,,,
31,河川,,,,労働災害,墜落,晴,2019年5月15時,愛媛県,移動中落葉を踏んで足を滑らせ、斜面を滑り落ちて負傷した。,急峻な斜面に落葉が相当量堆積していたことから、現場状況の悪さと作業員の油断により足を滑らせた。,
32,建築,建築一式,建築一式工事,建築一式工（１）,労働災害,飛来、落下,晴,2019年5月3時,栃木県,クレーンの巻き上げをしていたところ、巻き上げワイヤーと固定ボルトが破断し、作業員の頭部に落下し負傷した。,引抜き途中で鋼矢板が引っ掛かり、直後にそれが抜けた反動が原因と考えられます。作業手順書通りの作業をしており、車両点検や安全管理の記録も整備されていることから、偶発的な要因が大きいものと考えられます。,過巻装置とその周辺部品の点検回数をした。現行手順書ではサイレントパイラーでの引抜作業を少なくした。クレーン下部作業員の退避を確認後に巻き上げを開始することとした。過巻防止装置の落下防止対策として、新品ワイヤーに交換し、補助ワイヤーを追加した。
33,道路,土木一式,コンクリート構造物工事,橋梁下部工(橋台､橋脚),労働災害,飛来、落下,晴,2019年5月10時,高知県,橋脚の場所打ち杭のコンクリート打設において、ケーシングとトレミー管の撤去作業時に、ケーシング内のトレミー管がケーシングに接触し、トレミー管の吊上げ金具の固定ピンが外れ、ステージ上より退避しようとしていた作業員に落下し、背中や肩を負傷した。,ケーシング内面にトレミー管の吊金具が接触し、固定ピンが外れた。,ステージ上よりの退避行動が遅くならないよう合図者を含めて作業の区切りを明確にする。退避の際は被災者および合図者が吊荷から目を離す形となりトレミー管の状態がわかりづらいため、できるだけ吊り荷の状況を十分確認しながら速やかに移動することが重要である。トレミー管の吊り金具は衝撃等があっても外れないようボルト・ナット式固定ピンに交換する。作業手順書に、再発防止に向け注意すべき事項を明示するなどの改訂を実施する。
34,道路,土木一式,トンネル工事,ＮＡＴＭ、矢板トンネル、ＴＢＭ,労働災害,取扱運搬等,,2019年5月8時,和歌山県,,,
35,河川,維持修繕,維持修繕工事,維持修繕工,第三者災害,自動車の転倒、下敷、接触、衝突等,晴,2019年5月10時,北海道,伐木運搬作業で荷卸しを完了し積込場所へ戻る途中、ユニック車のブームを下ろさないまま走行し鉄道架線に接触し事故が発生した。,作業員の欠員が生じ、人員配置等の見直しが行われなかったため、安全確認が不足し事故を発生させてしまった。伐木荷下ろし完了後の走行前点検において、指差し呼称等の明確な確認方法がとられていなかった。,作業員の配置が変更になった場合は、再度手順書の周知確認を徹底する。また、手順書には、明確な点検内容、方法を追記し再周知する。作業員に欠員が生じ、予定の人員配置が行えない場合は、現場代理人のみで作業継続の判断を行うのではなく、社内協議のうえ、作業方法の見直し、作業中止を判断する。
36,上水・工業用水,水道施設工事,上水・工業用水道工事,送配水施設工,労働災害,取扱運搬等,晴,2019年5月13時,岡山県,荷台の上で玉掛外し作業を行っていた被災者は、吊荷が所定の位置に達しようとしたため、立ち位置を移動した。その際に足を踏み外し、既に積んである鋼矢板の隙間に左足を突っ込んだ結果、バランスを崩し転倒し負傷し転落した。,鋼矢板荷積の際に、２段目以降は鋼矢板上に乗る要因があり、適切な作業床ではなかった。また、被災者の踏み外しという、油断もあった。,鋼矢板間の隙間をなくし、平坦な作業床を設置する。荷台への昇降には可搬式作業台を使用する。積込の誘導は介錯ロープを使用し、荷台上で作業しない。クレーンオペレータへの合図は無線を使用する。
37,道路,とび・土工・コンクリート,法面工事,法面工,労働災害,墜落,晴,2019年5月16時,岡山県,起伏の大きな長大のり面での作業時、緩やかで降りやすいロープに移動しようとした際に、ロープのたるみを確認しないまま安全帯を付け替え、たるみが一気に伸び、体のバランスを失い足から滑落し踵を負傷した。,ライフラインの装着、ロープのたるみの確認を行っていなかった。本人の油断もあったであろうが、安全教育による意識向上が不十分であった。,主任技術者が作業員の安全作業の指導を行い、作業中も作業員の作業手順に問題がないか巡視・是正を行う。
38,河川,維持修繕,維持修繕工事,維持修繕工,労働災害,工具等取り扱い,晴,2019年5月11時,福岡県,除草作業中に転倒し、作動中の肩掛け式の刃で足を負傷。,被災者が作業時に刈草で足を滑らせた為。,
39,道路,舗装,アスファルト舗装工事,アスファルト舗装工,第三者災害,クレーン等の転倒、下敷、接触、衝突等,晴,2019年5月8時,東京都,クレーンからダンプへの積替え作業中、リモコンの操作ミスでブームを伸ばしてしまい、裏面吸音板にブームの先端を接触させてしまった。,資材車を移動させず、当初想定していた積替え作業とは違う配置で作業を行った。高架下での作業であるため、数名態勢で作業すべきことを、合図者、上空監視員抜きで行ってしまった。他工事と共通の一次下請とはいえ、他工事の資材置場へ、元請への連絡なしに一次下請の作業員のみで立ち入ってしまった。,想定していた作業配置図での作業が困難な場合には、作業を中止する。現場施工では、オペレータ、合図者、作業員、上空監視員の体制で行っているが、資材置場であっても同様の体制で行う。現場施工では、目印表示の設置を行って対策しているが、資材置場においても高架下部等における作業時も同様に設置を行う。下請が他工事の資材置場に入場が必要な場合は、作業前日までに、元請に必ず相談又は連絡させる。その後元請間で調整し、使用に関する注意事項、対策を講じた上で安全を指示し行動させる。下請責任下の作業であっても「重点安全対策」に記載されている安全対策が講じられるよう、安全作業打合せ・安全訓練により下請へ周知し、安全対策の注意喚起を行う。
40,道路,土木一式,トンネル工事,ＮＡＴＭ、矢板トンネル、ＴＢＭ,労働災害,取扱運搬等,晴,2019年5月12時,愛知県,被災者が鉄筋置き場にてユニック車へ鉄筋を積み込む作業を行っている際、指示されていた鉄筋を移動しないまま下にある別の鉄筋の束に自ら玉掛け後、ユニック車をリモコンで操作した。吊り上げた鉄筋の束の両端部が他の鉄筋の束の下にあったため、引き出そうとブームを伸ばした時、片側の端部が外れてその反対の端部を支点に鉄筋の束が回転して被災者の左膝に当たった。,搬入した鉄筋の一部が間違っていたため、被災者は鉄筋置き場にて正しい鉄筋の積込みの指示を受けたが、この際、２人で作業するところを１人で作業してしまった。また指示を守らず、上の鉄筋を移動させないまま、下の鉄筋を取り出そうとユニック操作をした。この鉄筋を吊り上げた際、作業手順を順守せず吊り荷の近くにいたために鉄筋の束の片方端部が抜け、鉄筋の束が回転して被災者の左膝に当たってしまった。,仮置きヤードに鉄筋を仮置きする時は作業範囲の広いクローラクレーンを使用して、鉄筋が重ならないように仮置きする。再教育並びに作業場所に看板を設置して見える化を図る。また吊元から位置に目印をつけた近接防止介錯ロープを使用して作業員は吊り荷から離れていることを確認したのちに操作者が吊上げ作業を行う。さらに、立入禁止の範囲をカラーコーン等で明示する。鉄筋積み降ろし作業での一人作業をなくすために、ユニック車ではなくクローラクレーンを使用して操作者と玉掛者・合図者を明確に分け、複数配置して作業を行う。その他の揚重作業についても同様に上記対策を実施する。
41,産業廃棄物,土木一式,土地造成工事,土地造成工,労働災害,飛来、落下,晴,2019年5月8時,栃木県,,,
42,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,取扱運搬等,曇り,2019年5月14時,大分県,被災者は落橋防止ケーブル作業時にケーブルのブラケットピンを1人で持ち上げ差し込みを行い、ブラケットピンのボルト部と鋼材に左手小指を挟まれ負傷した。,被災者は作業を進めようとした意識から次の落橋防止ケーブルのブラケットピンを持ち上げ差し込みを行って被災した。,作業手順、KY活動実施方法、安全施工サイクルの見直し。
43,港湾,土木一式,その他土木一式工事,その他土木一式工,労働災害,建設機械等の転倒、下敷、接触、衝突等,,2019年5月8時,和歌山県,,,
44,河川,土木一式,護岸工事,護岸工,労働災害,墜落,晴,2019年5月11時,大分県,工事用道路撤去中、吊り上げている土のうのベルトが切れた為、避けようとして落下して負傷した。,危険な作業という認識が薄れ、不安全な場所で作業し負傷をした。,土のうを吊上げずに土のうを破りながらバックホウのバケットで掘削して撤去する。今回と同様の作業をする際は、バックホウ旋回範囲内に作業員が入らないようにする。朝礼時に作業員への周知徹底。
45,河川,維持修繕,維持修繕工事,維持修繕工,第三者災害,その他,晴,2019年5月14時,埼玉県,除草作業を行っていた際走行している車の助手席側の窓ガラスを破損した。,ネットの高さおよび幅が不足していた。交通量の多い施工環境で、回転式の刈刃を使用したことにより、飛石等の可能性が高くなってしまった。車両の進行方向と対向する向きで刈り取りを行ったため、万が一、飛石等があった場合、車道側に飛んでいく可能性が高くなってしまった。,飛石防止ネットの拡大。施工環境に適した肩掛式除草機械の選定。刈取方向の周知徹底。
46,道路,,,,労働災害,墜落,晴,2019年5月10時,茨城県,数名が安全やぐらの仮設作業中、作業者が梯子を降りる際、梯子の踏さんと三又の横地パイプを踏み間違えてバランスを崩し地面に墜落した。,新規入場者教育において、単独作業禁止を教育していたが、助手が独断で予定外作業を行った。助手は、低い位置での作業と思い、セーフティブロックの使用を忘れてハシゴを昇降した。ハシゴの踏さんと三又の横地パイプが、踏み間違いを起こしやすい状態にあった。,「単独作業禁止」を徹底させるために、ＫＹ活動において安全衛生指示事項として周知するとともに、現場担当者が安全活動記録表にて確認する。ハシゴ昇降時は高さに関わらずセーフティブロックの使用を徹底させるために、現場担当者がセーフティブロックの使用状況を安全活動記録表にて点検・確認する。ハシゴの踏み間違いを防止するため、作業員が横地パイプとハシゴの踏さんの高さを揃えるとともに、現場担当者が安全活動記録表にて状況を点検・確認する。
47,道路,舗装,アスファルト舗装工事,アスファルト舗装工,労働災害,その他,晴,2019年6月13時,奈良県,橋面防水工施工時に誤って靴と塗膜防水面が付着し足を取られ転倒し手に持っていた一斗缶の中の加熱防水材が飛散し火傷を負った。,端部の施工で幅狭になり、十分な作業ｽﾍﾟｰｽを確保できなかった。保護具の着用が不十分だった。危険に対する周知は行っていたが、危険に対する感性が低かった。通常の施工時における作業手順は作成していたが、施工端部における施工手順がなかった。,保護具の着用を徹底するようＫＹﾐｰﾃｨﾝｸﾞ時に確認。事故が発生した際、直ちに作業中止の徹底を作業員全員に周知。作業員が誤って塗布面を踏まないよう、監視役を配置し注意喚起を行う。作業員の靴底に両面テープシートを貼り付け、過って施工済み塗布面を踏んでしまった際、靴底に取り付けたシートが外れ、作業員が足をとられ、転倒する危険を抑止させる。
48,砂防・地滑り,土木一式,砂防工事,砂防ダム工,労働災害,飛来、落下,晴,2019年6月15時,新潟県,トレーラーから敷鉄板を地面に降ろし法面に寄りかけようとした際、被災者の合図で少しアームを下げたところ敷鉄板を吊っていた吊り金具が緩んで外れ、敷鉄板が被災者の方向に倒れて、敷鉄板とトレーラーの間に挟まれ負傷した。,吊り具の外れ止めを機能させる部品が破損し、吊り具のフックが外れたため、敷鉄板が倒れた。,鉄板用吊具の全回収、点検、管理方法の変更。安全衛生委員会及び工事長による再発防止会議の実施。全社員への事故内容の説明と安全教育。玉掛け、作業方法、注意事項の再教育と見張り員の追加。
